NA_L3NAME,US_L3CODE,US_L3NAME,NA_L3CODE,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,STATE_NAME,EPA_REGION,L3_KEY,L2_KEY,L1_KEY,year,En_NFire,En_BurnArea
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2026,4.163857142857142,30323.123134625275
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2041,5.996714285714286,51700.50813393282
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2040,4.235285714285714,32487.69992549003
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2037,4.767142857142857,42613.00877395801
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2052,6.245214285714286,53198.36972231465
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2039,4.002642857142857,29957.743638909375
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2021,4.784142857142857,42666.1655858612
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2022,4.688285714285715,36328.916487447656
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2054,4.775071428571429,36814.03368700589
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2053,5.1032142857142855,38972.54394731645
